Job Title,Company Name,Location,Required Skills,Responsibilities
Senior Python Developer,Confidential -,"Maadi, Cairo, Egypt ",Full timeWork from homeExperienced · 3+ Yrs of Exp · Computer Science · Django · Engineering · Flask · HTML5 · Information Technology (IT) · JavaScript · Python · ORM · Software Development,"Write effective, scalable code || Develop back-end components to improve responsiveness and overall performance || Integrate user-facing elements into applications || Test and debug programs || Improve functionality of existing systems || Implement security and data protection solutions || Assess and prioritize feature requests || Coordinate with internal teams to understand user requirements and provide technical solutions "
Senior Python Developer - Remote,"Nile Bits, LLC","6th of October, Giza, Egypt ",Full timeWork from homeExperienced · 3+ Yrs of Exp · Python · Django · javaScript · Software Development · Git · HTML5 · Unit Testing · Computer Science · Information Technology (IT) · Programming,"Writing reusable, testable, and efficient code. || Design and implementation of low-latency, high-availability, and performant applications. || Integration of user-facing elements developed by front-end developers with server side logic. || Implementation of security and data protection. || Integration of data storage solutions. "
Senior Python Dveloper,Confidential -,"Cairo, Egypt ",Full timeExperienced · 4 - 7 Yrs of Exp · Django · backend · Cloud · Computer Science · Python · Software Development · ERP · Information Technology (IT) · IT/Software Development · Engineering - Telecom/Technology,
Senior Python Developer - Security Engineering,Master Linux,"Heliopolis, Cairo, Egypt ",Full timeExperienced · 4 - 7 Yrs of Exp · Python · Cybersecurity · Software · Development · MySQL · DevOps · Docker · Information Technology (IT) · Software Engineering · Software Development,"Develop Security Automation Frameworks, Tools and Security Management products. || Abstract complex security APIs or ecosystems for systems integration || Own and maintain the life cycle of the developed solutions (production hardware and software strategy, end of support, etc.) from an engineering perspective. || Follow secure software development best practices and standards. || Provide visionary insight into global security automation capabilities, trends and values. "
Python Developer,EBE,"Dokki, Giza, Egypt ",Full timeExperienced · 2+ Yrs of Exp · Software Development · Python · Information Technology (IT) · Computer Science · javaScript · HTML5 · Django · CSS3 · jQuery · Flask,"Understand the business needs and requirements of the entire solution.  || Design, Development and testing of (Open ERP) Modules, projects, products and interfaces (Using Python).  || Configuration, Installation and maintenance of server and multi-database ERP environments. Maintain and monitor the ERP server & customize the ERP add-ons.  || Implementing new features. Create& customize reports.  || Create new functional business modules. Integrate the system with other web applications. Cooperate with users and testing team to enhance the usability factor of application. "
Senior BackEnd Engineer (Python/Django),STC Solutions - Egypt,"New Cairo, Cairo, Egypt ",Full timeExperienced · 4+ Yrs of Exp · Software Development · Java · Software · CI/CD · NoSQL · Backend · Information Technology (IT) · Computer Science · Software Engineering · MySQL,"Participate in the conception and feature planning of new software as well as the extension of existing software.  || Design and implement new user-facing features for existing web applications. ||  Create fast, easy to use, and robust client-side code for web applications. || Optimize web applications to maximize reliability and speed.  || Work closely with UX designers to implement versatile web applications. || Design, develop, test, and maintain modern web applications. || Analyze and clarify business requirements to implement data model and business logic.  || Work as part of an agile team to actively communicate status and complete deliverable on schedule. || Write unit and integration tests to ensure quality and maintainability of applications. ||  Ensure non-functional requirements including security, resiliency, and maintainability are met according to defined standards. || Resolve bugs, performance problems, and other issues with production applications. "
Python Flask Developer,RDI,"Dokki, Giza, Egypt ",Full timeEntry Level · 1 - 3 Yrs of Exp · Django · Docker · Python · Java · Programming · CSS · HTML · Angular · Computer Science · Information Technology (IT),"Design, develop and test new products while maintaining the existing || Stay up to date with the latest industry trends in software and cloud solutions || Ensure high code and design quality that fulfills business requirements || Partner with Machine Learning researchers to improve performance and reliability of advanced algorithms || Implementation of security and data protection || Writing reusable, testable, and efficient code || Design and implementation of low-latency, high-availability, and performant applications || approved but it will be nice if we added a good documentation skill following some standards "
Senior Software Engineer - Python,Paymob Solutions,"Maadi, Cairo, Egypt ",Full timeExperienced · 2+ Yrs of Exp · Python · Computer Science · Software Engineering · Framework · Software Development · AWS · Information Technology (IT) · javaScript · Web Services · ReactJS,Help design and implement functional requirements. || Build efficient back-end features in Python. || Integrate front-end components into applications. || Manage testing and bug fixes. || Prepare technical documentation. || Collaborate with UX/UI designers to implement design into the code. || Collaborate with other team members. || Coach junior team members. || Implement software enhancements and suggest improvements. 
Backend Engineer - Python/Django,Paymob Solutions,"Maadi, Cairo, Egypt ",Full timeExperienced · 2+ Yrs of Exp · Information Technology (IT) · Python · Django · AWS · Web Services · Computer Science · Software Development · javaScript · REST · APIs,Help design and implement functional requirements. || Build efficient back-end features in Python. || Integrate front-end components into applications. || Manage testing and bug fixes. || Prepare technical documentation. || Collaborate with UX/UI designers to implement design into the code. || Collaborate with other team members. || Implement software enhancements and suggest improvements. 
Python Developer,Trufla,"Heliopolis, Cairo, Egypt ",Full timeExperienced · 2+ Yrs of Exp · Python · Git · Computer Science · Information Technology (IT) · Software Development · AWS · Agile · SQL · javaScript · PHP,Competitive Salary || Health Insurance || Gym Membership || Flexible Working Hours || Continuing Education Opportunities 
Lead Software Engineer - Python Back End,LxT,"Mohandessin, Giza, Egypt ",Full timeManager · 6+ Yrs of Exp · Computer Science · Information Technology (IT) · Software Development · Software Engineering · Python · NoSQL · IT/Software Development · Engineering - Telecom/Technology,"Design, develop and test new products, while maintaining the existing || Stay up to date with the latest industry trends in software and cloud solutions. || Ensure high code and design quality that fulfills business requirements and good design aspects (scalability, fault tolerance). || Coach, mentor and support junior team members by:Supporting the culture of technical excellence and zero technical debt Supporting technical estimations and effort sizing.Establishing code guidelines and reviewing PRs.Adopting unit testing and integration testing in the system. || Supporting the culture of technical excellence and zero technical debt  || Supporting technical estimations and effort sizing. || Establishing code guidelines and reviewing PRs. || Adopting unit testing and integration testing in the system. || Design and implement solutions to protect against common security vulnerabilities "
Python Developer/ Full Stack Python Developer,FlairsTech,"Cairo, Egypt ",Full timeExperienced · 3 - 7 Yrs of Exp · Angular · AWS · Computer Science · Docker · Git · OOP · SQL · React · Software Development · Information Technology (IT),"Improving software by identifying opportunities for improvement, making recommendations and designing and implementing systems. || Maintaining and improving existing codebases and peer review code changes. || Liaising with colleagues to implement technical designs. || Investigating, researching and using new technologies where relevant. || Providing written knowledge transfer material. || Documenting and maintaining software functionality. || Improving software based on evaluating user feedback. "
Senior Full Stack Python Developer,FlairsTech,"Maadi, Cairo, Egypt ",Full timeExperienced · 3+ Yrs of Exp · Python · Software Development · Programming · Information Technology (IT) · JavaScript · Development · Computer Science · IT/Software Development · Engineering - Telecom/Technology,"We are looking for new team members that help us bring Envase TMS fully into the cloud. As a Sr. Engineer, you’ll be responsible for the design and implementation of web applications using TypeScript and Python in the AWS cloud. "
Python Developer - Pandas,Cegedim,"New Cairo, Cairo, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · Pandas · Python · Software Engineering · Web Development · Numpy · SQL · Database · S3 · Git · Data,"Responsible for the architecture design, development, and maintenance of high-quality software applications. || Participation in architecture design workshops, peer code reviews, unit testing and refactoring. || Development of exciting new software applications using modern, best practice development techniques, design patterns, and quality standards. || Participating in solution designs, design workshops, and peer code reviews. || Applying best practice development techniques, including patterns and coding standards. || Active participation in the user story and acceptance criteria creation, estimation, and testing. || Active participation in all aspects of the Scrum framework, including Sprint Goals, Sprint Planning, Sprint Reviews, Daily Stand-ups, and Retrospectives. || Actively learning new technologies to satisfy business and architectural demands. "
Python Programming Instructor,Yat Learning Centers,"Mohandessin, Giza, Egypt ",Freelance / ProjectExperienced · 3 - 8 Yrs of Exp · Instructor · Python · trainer · programming · Computer Science · Information Technology (IT) · IT/Software Development · Education/Teaching · Training/Instructor,Responsible for training individuals Android Development . || Develop & maintains positive relationships with students in order to monitor & resolve students concerns. 
Senior Python Django Full Stack Developer,LINK Development,"Maadi, Cairo, Egypt ",Full timeExperienced · 2+ Yrs of Exp · Computer Science · Software Development · Python · Information Technology (IT) · javaScript · SQL · Software · Software Engineering · MySQL · HTML5,"Write effective, scalable code || Develop back-end components to improve responsiveness and overall performance || Integrate user-facing elements into applications || Test and debug programs || Improve functionality of existing systems || Implement security and data protection solutions || Assess and prioritize feature requests || Coordinate with internal teams to understand user requirements and provide technical solution "
Senior Full Stack Developer (Python/Django),STC Solutions - Egypt,"New Cairo, Cairo, Egypt ",Full timeExperienced · 4 - 7 Yrs of Exp · Software · Information Technology (IT) · Django · React · Angular · Computer Science · Software Development · javaScript · Software Engineering · Jira,"Participate in the conception and feature planning of new software as well as the extension of existing software.  || Design and implement new user-facing features for existing web applications.  || Create fast, easy to use, and robust client-side code for web applications.  || Optimize web applications to maximize reliability and speed.  || Work closely with UX designers to implement versatile web applications.  || Design, develop, test, and maintain modern web applications.  || Analyze and clarify business requirements to implement data models and business logic.  || Work as part of an agile team to actively communicate status and complete deliverables on schedule.  || Write unit and integration tests to ensure the quality and maintainability of applications.  || Ensure non-functional requirements including security, resiliency, and maintainability are met according to defined standards.  || Resolve bugs, performance problems, and other issues with production applications.  "
Python Developer / REST API / Microservices - Ocucon Team (UK) - (Alexandria),Procrew,"San Stefano, Alexandria, Egypt ",Full timeExperienced · 3+ Yrs of Exp · MySQL · javaScript · Software Development · Programming · Git · Information Technology (IT) · Front-End · Full-Stack · Back-End · Computer Science,"Consistently write clean, and tested code. || Ensure that code is written in such a way that it exploits the frameworks that are in use within our applications and is consistent with our practices and patterns. || Monitor and benchmark applications in production to find opportunities for improvement in usability and functionality. || Actively participate in peer-reviews of pull requests, to ensure that quality code is released. "
